client,insured_name,contact_email,field_name,field_value,sync_date,sync_timestamp
A G Equipment Company,Texas Process Equipment,texasprocessequipment@internalemail.com,Verification Status,PENDING_SUBMISSION,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,Texas Process Equipment,texasprocessequipment@internalemail.com,Latest Submission Date,2026-01-22T17:01:03,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,Texas Process Equipment,texasprocessequipment@internalemail.com,email,AP@VOIGTAB.COM,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,Texas Process Equipment,texasprocessequipment@internalemail.com,entityId,TEXA-HOUS3,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,Texas Process Equipment,texasprocessequipment@internalemail.com,entityType,Collect Only,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,Texas Process Equipment,texasprocessequipment@internalemail.com,notificationList,"[""AP@VOIGTAB.COM"",""JJAMES@VOIGTAB.COM""]",05/24/2026,05/24/2026 05:05:31
A G Equipment Company,Texas Process Equipment,texasprocessequipment@internalemail.com,verificationType,Collect Only,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,DELTA FOREMOST CHEMICAL,deltaforemostchemical@internalemail.com,Effective Group,!Collect_Only_Global_Insurance,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,DELTA FOREMOST CHEMICAL,deltaforemostchemical@internalemail.com,Verification Status,PENDING_SUBMISSION,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,DELTA FOREMOST CHEMICAL,deltaforemostchemical@internalemail.com,Latest Submission Date,2026-04-27T13:06:56,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,DELTA FOREMOST CHEMICAL,deltaforemostchemical@internalemail.com,email,bford@deltaforemost.com,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,DELTA FOREMOST CHEMICAL,deltaforemostchemical@internalemail.com,entityId,DELT-MEMP,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,DELTA FOREMOST CHEMICAL,deltaforemostchemical@internalemail.com,entityType,Collect Only,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,DELTA FOREMOST CHEMICAL,deltaforemostchemical@internalemail.com,notificationList,"[""bford@deltaforemost.com"",""Sarah.Hutzel@usi.com"",""sarah.hutzel@usi.com"",""SALES@DELTAFOREMOST.COM""]",05/24/2026,05/24/2026 05:05:31
A G Equipment Company,DELTA FOREMOST CHEMICAL,deltaforemostchemical@internalemail.com,verificationType,Collect Only,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,NORBERG-IES,norbert-ies@internalemail.com,Effective Group,!Collect_Only_Global_Insurance,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,NORBERG-IES,norbert-ies@internalemail.com,Verification Status,PENDING_SUBMISSION,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,NORBERG-IES,norbert-ies@internalemail.com,email,ARNORBERG@EIS-INC.COM,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,NORBERG-IES,norbert-ies@internalemail.com,entityId,NORB-TULS,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,NORBERG-IES,norbert-ies@internalemail.com,entityType,Collect Only,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,NORBERG-IES,norbert-ies@internalemail.com,notificationList,"[""ACCOUNTING@POWERFUSE.COM"",""ARNORBERG@EIS-INC.COM"",""RICK@NEMA7.COM""]",05/24/2026,05/24/2026 05:05:31
A G Equipment Company,NORBERG-IES,norbert-ies@internalemail.com,verificationType,Collect Only,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,"MOTION INDUSTRIES, INC",motionindustriesinc@internalemail.com,Effective Group,!Collect_Only_Global_Insurance,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,"MOTION INDUSTRIES, INC",motionindustriesinc@internalemail.com,Verification Status,PENDING_SUBMISSION,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,"MOTION INDUSTRIES, INC",motionindustriesinc@internalemail.com,email,ar.remittance@motion-ind.com,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,"MOTION INDUSTRIES, INC",motionindustriesinc@internalemail.com,entityId,MOTI-TULS,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,"MOTION INDUSTRIES, INC",motionindustriesinc@internalemail.com,entityType,Collect Only,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,"MOTION INDUSTRIES, INC",motionindustriesinc@internalemail.com,notificationList,"[""ar.remittance@motion-ind.com"",""alan.browne@motion-ind.com"",""alan.browne@motion.com""]",05/24/2026,05/24/2026 05:05:31
A G Equipment Company,"MOTION INDUSTRIES, INC",motionindustriesinc@internalemail.com,verificationType,Collect Only,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,Central States Crane and Hoist,centralstatescraneandhoist@internalemail.com,Effective Group,!Collect_Only_Global_Insurance,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,Central States Crane and Hoist,centralstatescraneandhoist@internalemail.com,Verification Status,PENDING_SUBMISSION,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,Central States Crane and Hoist,centralstatescraneandhoist@internalemail.com,email,AR@CENTRALSTATESCRANE.COM,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,Central States Crane and Hoist,centralstatescraneandhoist@internalemail.com,entityId,CENT-CLAR2,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,Central States Crane and Hoist,centralstatescraneandhoist@internalemail.com,entityType,Collect Only,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,Central States Crane and Hoist,centralstatescraneandhoist@internalemail.com,notificationList,"[""AR@CENTRALSTATESCRANE.COM""]",05/24/2026,05/24/2026 05:05:31
A G Equipment Company,Central States Crane and Hoist,centralstatescraneandhoist@internalemail.com,verificationType,Collect Only,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,FLOWSERVE US INC.,flowserveusinc@internalemail.com,Effective Group,!Collect_Only_Global_Insurance,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,FLOWSERVE US INC.,flowserveusinc@internalemail.com,Expiration,2026-01-01,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,FLOWSERVE US INC.,flowserveusinc@internalemail.com,Verification Status,PENDING_SUBMISSION,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,FLOWSERVE US INC.,flowserveusinc@internalemail.com,Latest Submission Date,2025-06-27T19:20:16,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,FLOWSERVE US INC.,flowserveusinc@internalemail.com,email,cashapp.na@flowserve.com,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,FLOWSERVE US INC.,flowserveusinc@internalemail.com,entityId,FLOW-CHES,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,FLOWSERVE US INC.,flowserveusinc@internalemail.com,entityType,Collect Only,05/24/2026,05/24/2026 05:05:31
